attack,defense,budget,substitute_arch,victim_arch,victim_accuracy,substitute_accuracy,fidelity,protection_score,utility_cost,query_efficiency,attack_roi,defense_latency_ms,meta_attack,meta_queries_used,meta_query_time_s,meta_rounds,meta_train_time_s
random_query,throttle_250,1000,small_cnn,resnet50,82.65,9.43,9.63,0.8859,0.0,9.63,0.00943,0.005,random_query,1000,0.66,,9.81
random_query,throttle_250,1000,mobilenetv3_small,resnet50,82.65,10.0,10.02,0.879,0.0,10.02,0.01,0.006,random_query,1000,0.65,,5.97
random_query,throttle_250,5000,small_cnn,resnet50,82.65,10.32,11.03,0.8751,0.0,2.206,0.002064,0.005,random_query,5000,3.4,,51.4
random_query,throttle_250,5000,mobilenetv3_small,resnet50,82.65,9.74,9.83,0.8822,0.0,1.966,0.001948,0.004,random_query,5000,3.37,,32.81
random_query,throttle_500,1000,small_cnn,resnet50,82.65,9.96,9.96,0.8795,0.0,9.96,0.00996,0.005,random_query,1000,0.64,,9.55
random_query,throttle_500,1000,mobilenetv3_small,resnet50,82.65,10.0,10.02,0.879,0.0,10.02,0.01,0.005,random_query,1000,0.67,,5.99
random_query,throttle_500,5000,small_cnn,resnet50,82.65,10.0,10.02,0.879,0.0,2.004,0.002,0.004,random_query,5000,3.41,,51.49
random_query,throttle_500,5000,mobilenetv3_small,resnet50,82.65,9.9,10.07,0.8802,0.0,2.014,0.00198,0.009,random_query,5000,3.41,,31.47
random_query,throttle_1000,1000,small_cnn,resnet50,82.65,10.0,10.02,0.879,0.0,10.02,0.01,0.005,random_query,1000,0.68,,9.93
random_query,throttle_1000,1000,mobilenetv3_small,resnet50,82.65,10.0,10.02,0.879,0.0,10.02,0.01,0.005,random_query,1000,0.68,,6.54
random_query,throttle_1000,5000,small_cnn,resnet50,82.65,9.96,9.97,0.8795,0.0,1.994,0.001992,0.004,random_query,5000,3.41,,51.69
random_query,throttle_1000,5000,mobilenetv3_small,resnet50,82.65,10.08,10.12,0.878,0.0,2.024,0.002016,0.004,random_query,5000,3.38,,32.29
random_query,poison_0.30,1000,small_cnn,resnet50,82.65,8.04,7.87,0.9027,0.0,7.87,0.00804,0.181,random_query,1000,0.68,,9.9
random_query,poison_0.30,1000,mobilenetv3_small,resnet50,82.65,10.0,10.02,0.879,0.0,10.02,0.01,0.171,random_query,1000,0.68,,6.62
random_query,poison_0.30,5000,small_cnn,resnet50,82.65,10.0,10.02,0.879,0.0,2.004,0.002,0.175,random_query,5000,3.43,,51.65
random_query,poison_0.30,5000,mobilenetv3_small,resnet50,82.65,11.43,11.45,0.8617,0.0,2.29,0.002286,0.174,random_query,5000,3.41,,33.26
random_query,poison_0.50,1000,small_cnn,resnet50,82.65,9.83,9.66,0.8811,0.0,9.66,0.00983,0.246,random_query,1000,0.68,,9.9
random_query,poison_0.50,1000,mobilenetv3_small,resnet50,82.65,10.0,10.02,0.879,0.0,10.02,0.01,0.252,random_query,1000,0.64,,6.55
random_query,poison_0.50,5000,small_cnn,resnet50,82.65,10.08,10.1,0.878,0.0,2.02,0.002016,0.25,random_query,5000,3.43,,51.56
random_query,poison_0.50,5000,mobilenetv3_small,resnet50,82.65,8.84,8.82,0.893,0.0,1.764,0.001768,0.242,random_query,5000,3.33,,33.77
random_query,adaptive_aggressive,1000,small_cnn,resnet50,82.65,10.0,10.02,0.879,0.0,10.02,0.01,0.015,random_query,1000,0.64,,9.57
random_query,adaptive_aggressive,1000,mobilenetv3_small,resnet50,82.65,10.0,10.02,0.879,0.0,10.02,0.01,0.015,random_query,1000,0.66,,6.13
random_query,adaptive_aggressive,5000,small_cnn,resnet50,82.65,10.0,10.02,0.879,0.0,2.004,0.002,0.018,random_query,5000,3.31,,51.43
random_query,adaptive_aggressive,5000,mobilenetv3_small,resnet50,82.65,10.0,10.02,0.879,0.0,2.004,0.002,0.015,random_query,5000,3.44,,34.31
knockoff_nets,throttle_250,1000,small_cnn,resnet50,82.65,27.08,27.36,0.6724,0.0,27.36,0.02708,0.005,knockoff_nets,1000,0.72,,9.88
knockoff_nets,throttle_250,1000,mobilenetv3_small,resnet50,82.65,10.0,9.77,0.879,0.0,9.77,0.01,0.005,knockoff_nets,1000,0.71,,6.43
knockoff_nets,throttle_250,5000,small_cnn,resnet50,82.65,26.65,26.62,0.6776,0.0,5.324,0.00533,0.012,knockoff_nets,5000,2.93,,51.49
knockoff_nets,throttle_250,5000,mobilenetv3_small,resnet50,82.65,18.58,20.32,0.7752,0.0,4.064,0.003716,0.005,knockoff_nets,5000,2.97,,33.34
knockoff_nets,throttle_500,1000,small_cnn,resnet50,82.65,27.77,29.39,0.664,0.0,29.39,0.02777,0.004,knockoff_nets,1000,0.69,,9.9
knockoff_nets,throttle_500,1000,mobilenetv3_small,resnet50,82.65,10.0,9.4,0.879,0.0,9.4,0.01,0.005,knockoff_nets,1000,0.69,,6.52
knockoff_nets,throttle_500,5000,small_cnn,resnet50,82.65,30.02,31.93,0.6368,0.0,6.386,0.006004,0.004,knockoff_nets,5000,2.9,,51.36
knockoff_nets,throttle_500,5000,mobilenetv3_small,resnet50,82.65,18.65,19.34,0.7743,0.0,3.868,0.00373,0.005,knockoff_nets,5000,2.89,,33.5
knockoff_nets,throttle_1000,1000,small_cnn,resnet50,82.65,35.15,36.75,0.5747,0.0,36.75,0.03515,0.005,knockoff_nets,1000,0.71,,9.88
knockoff_nets,throttle_1000,1000,mobilenetv3_small,resnet50,82.65,10.0,9.54,0.879,0.0,9.54,0.01,0.005,knockoff_nets,1000,0.71,,6.32
knockoff_nets,throttle_1000,5000,small_cnn,resnet50,82.65,33.08,34.13,0.5998,0.0,6.826,0.006616,0.005,knockoff_nets,5000,2.91,,51.49
knockoff_nets,throttle_1000,5000,mobilenetv3_small,resnet50,82.65,33.03,33.53,0.6004,0.0,6.706,0.006606,0.007,knockoff_nets,5000,2.89,,32.97
knockoff_nets,poison_0.30,1000,small_cnn,resnet50,82.65,30.84,32.09,0.6269,0.0,32.09,0.03084,0.176,knockoff_nets,1000,0.7,,9.9
knockoff_nets,poison_0.30,1000,mobilenetv3_small,resnet50,82.65,10.0,9.54,0.879,0.0,9.54,0.01,0.173,knockoff_nets,1000,0.73,,6.09
knockoff_nets,poison_0.30,5000,small_cnn,resnet50,82.65,39.66,41.46,0.5201,0.0,8.292,0.007932,0.176,knockoff_nets,5000,2.93,,51.72
knockoff_nets,poison_0.30,5000,mobilenetv3_small,resnet50,82.65,52.32,52.93,0.367,0.0,10.586,0.010464,0.178,knockoff_nets,5000,2.94,,33.37
knockoff_nets,poison_0.50,1000,small_cnn,resnet50,82.65,26.36,27.46,0.6811,0.0,27.46,0.02636,0.247,knockoff_nets,1000,0.7,,9.89
knockoff_nets,poison_0.50,1000,mobilenetv3_small,resnet50,82.65,10.0,10.25,0.879,0.0,10.25,0.01,0.249,knockoff_nets,1000,0.72,,6.55
knockoff_nets,poison_0.50,5000,small_cnn,resnet50,82.65,36.39,38.17,0.5597,0.0,7.634,0.007278,0.251,knockoff_nets,5000,2.94,,51.56
knockoff_nets,poison_0.50,5000,mobilenetv3_small,resnet50,82.65,36.1,36.99,0.5632,0.0,7.398,0.00722,0.247,knockoff_nets,5000,2.94,,33.32
